,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
114,29714,29714,29714,29714,Sell,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,"1,000",$106.4690,"$106,469.0000","21,903",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
115,29715,29715,29715,29715,Sell,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,544,$106.6670,"$58,026.6000","16,903",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
116,29716,29716,29716,29716,Buy,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,544,$32.4000,"$17,625.6000","26,454",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
117,29717,29717,29717,29717,Sell,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,"1,000",$106.4960,"$106,496.0000","20,903",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
118,29718,29718,29718,29718,Buy,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,"6,206",$62.9000,"$390,357.0000","25,356",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
119,29719,29719,29719,29719,Sell,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,"1,000",$106.4600,"$106,460.0000","22,903",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
120,29720,29720,29720,29720,Sell,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,554,$106.6670,"$59,093.3000","17,447",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
121,29721,29721,29721,29721,Sell,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,696,$106.4990,"$74,123.3000","24,207",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
122,29858,29858,29858,29858,Sell,2016-10-13,2016-10-14 14:56:04,SYNNEX CORP,SNX,LAROCQUE PETER, officer,"2,600",$105.8210,"$275,135.0000","14,303",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=287, tm_isdst=-1)",103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,115.56367492675781,116.73661041259766,112.68782043457031
123,29864,29864,29864,29864,Sell,2016-10-12,2016-10-14 13:21:58,SYNNEX CORP,SNX,LAROCQUE PETER, officer,"1,000",$106.5720,"$106,572.0000","18,903",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=286, tm_isdst=-1)",103.78437805175781,103.24895477294922,102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,114.43443298339844,117.30376434326172,113.15061950683594
